Názov,Predajca,Cena,Plati do,Poznamka,Kategoria
Bravčová krkovička bez kosti 1 kg,Billa,"4,95 € -33%",Utorok 29.10.2024,,Potraviny / mäso / bravčové
Bravčová krkovička bez kosti 1 kg,Tesco,"5,49 € -28%*",Utorok 29.10.2024,* Clubcard cena,Potraviny / mäso / bravčové
Gambrinus Originál 10% pivo výčapné svetlé 500 ml plechovka,Billa,"0,59 € -21%",Utorok 29.10.2024,,Potraviny / alkoholické nápoje / pivo
Gambrinus Originál 10% pivo výčapné svetlé 500 ml plechovka,Kaufland,"0,59 €",Streda 30.10.2024,,Potraviny / alkoholické nápoje / pivo
Zott Jogobella 150 g,Tesco,"0,35 € -36%*",Utorok 29.10.2024,* Clubcard cena,Potraviny / mliečne výrobky / jogurty
Zott Jogobella 150 g,Billa,"0,39 € -33%",Utorok 29.10.2024,,Potraviny / mliečne výrobky / jogurty
"Big Soft toaletný papier 3-vrstvový, 8 ks",Billa,"1,99 € -55%*",Utorok 29.10.2024,* cena od 2ks,"Drogéria a parfuméria / toaletný papier, vreckovky"
Tekvica Halloween 1 kg,Tesco,"0,69 € -61%*",Utorok 29.10.2024,* Clubcard cena,Potraviny / zelenina / dyňa a cukety
"Orion Študentská pečať, 235 - 260 g",Tesco,"2,39 € -56%*",Utorok 29.10.2024,* Clubcard cena,"Potraviny / cukrovinky, pochutiny"
Axe Alaska 150 ml,Tesco,"2,99 € -28%*",Utorok 5.11.2024,* Clubcard cena,Drogéria a parfuméria / starostlivosť o telo / deodoranty
Axe Alaska 150 ml,101 DROGÉRIA,"3,19 €",Utorok 5.11.2024,,Drogéria a parfuméria / starostlivosť o telo / deodoranty
Bref Power Aktiv 3x50 g,101 DROGÉRIA,"3,39 €",Utorok 5.11.2024,,Drogéria a parfuméria / čistiace prostriedky / WC a odpady
Bref Power Aktiv 3x50 g,Tesco,"3,49 € -35%*",Utorok 5.11.2024,* Clubcard cena,Drogéria a parfuméria / čistiace prostriedky / WC a odpady
Bref Power Aktiv 3x50 g,Billa,"3,59 € -28%",Utorok 29.10.2024,,Drogéria a parfuméria / čistiace prostriedky / WC a odpady
Jar Prostriedok Na Umývanie Riadu 900 ml,Billa,"2,99 € -40%*",Utorok 29.10.2024,* cena od 2Ks,Drogéria a parfuméria / umývanie riadu / ručné umývanie
Jar Prostriedok Na Umývanie Riadu 900 ml,Tesco,"3,49 € -27%*",Utorok 29.10.2024,* Clubcard cena,Drogéria a parfuméria / umývanie riadu / ručné umývanie
"Coccolino Care prací gél, 68 PD",Tesco,"11,39 € -57%*",Utorok 29.10.2024,* Clubcard cena,Drogéria a parfuméria / pracie prostriedky
"Magnesia Prírodná minerálna voda 1,5 l",Tesco,"0,54 € -36%*",Utorok 29.10.2024,* Clubcard cena,Potraviny / nealkoholické nápoje / balené vody / minerálne vody
"Magnesia Prírodná minerálna voda 1,5 l",Kaufland,"0,55 €",Streda 30.10.2024,,Potraviny / nealkoholické nápoje / balené vody / minerálne vody
Flora Gold 400 g,Billa,"1,99 € -53%",Utorok 29.10.2024,,Potraviny / ostatné chladené / margaríny
Palmolive sprchový gél 250 ml,Tesco,"1,99 € -26%*",Utorok 5.11.2024,* Clubcard cena,Drogéria a parfuméria / starostlivosť o telo / sprchovacie gély a peny
Palmolive sprchový gél 250 ml,101 DROGÉRIA,"1,99 €",Utorok 5.11.2024,,Drogéria a parfuméria / starostlivosť o telo / sprchovacie gély a peny
Tekvica Hokkaido 1 kg,Tesco,"0,85 € -52%*",Utorok 29.10.2024,* Clubcard cena,Potraviny / zelenina / dyňa a cukety
"Hubert Club 0,75 l",Billa,"3,99 € -31%",Utorok 29.10.2024,,Potraviny / alkoholické nápoje
"Hubert Club 0,75 l",Kaufland,"4,29 €",Streda 30.10.2024,,Potraviny / alkoholické nápoje
Taft lak 250 ml,Kaufland,"2,99 €",Streda 30.10.2024,,Drogéria a parfuméria / starostlivosť o vlasy / laky a tužidlá
Taft lak 250 ml,101 DROGÉRIA,"3,99 € -11%*",Utorok 5.11.2024,* cena od 2ks,Drogéria a parfuméria / starostlivosť o vlasy / laky a tužidlá
Petržlen 1 kg,Tesco,"1,49 € -53%*",Utorok 29.10.2024,* Clubcard cena,Potraviny / zelenina / mrkva a koreňová zelenina
Petržlen 1 kg,Billa,"1,79 € -45%",Utorok 29.10.2024,,Potraviny / zelenina / mrkva a koreňová zelenina
"Kofola 1,5 l, vybrané druhy",Tesco,"0,74 € -48%*",Utorok 29.10.2024,* Clubcard cena,Potraviny / nealkoholické nápoje / koly
"Kofola 1,5 l, vybrané druhy",Billa,"0,79 € -47%",Utorok 29.10.2024,,Potraviny / nealkoholické nápoje / koly
Mandarinky 1 kg,Billa,"1,29 € -56%",Utorok 29.10.2024,,Potraviny / ovocie / citrusy
"Karpatské Brandy 0,7 l",Tesco,"12,79 € -20%*",Utorok 29.10.2024,* Clubcard cena,Potraviny / alkoholické nápoje
"Karpatské Brandy 0,7 l",Kaufland,"18,99 €",Streda 30.10.2024,,Potraviny / alkoholické nápoje
Jar tablety All in 1 Platinum 100 ks,101 DROGÉRIA,"18,99 € -52%",Utorok 5.11.2024,,Drogéria a parfuméria / umývanie riadu
Storck Nimm2 90 g,Billa,"0,64 € -50%*",Utorok 29.10.2024,* 1+1,"Potraviny / cukrovinky, pochutiny / cukríky"
BILLA podstielkové vajcia 10 ks/veľkosť M,Billa,"1,69 € -48%",Utorok 29.10.2024,,Potraviny / ostatné chladené
